sector_id,sector_name,climate,terrain,population,diameter_km,system_name,region,midi_baseline,midi_sigma,kyber_baseline,kyber_sigma,dark_baseline,dark_sigma,dark_spike_probability,description,force_history,canon_confidence,is_unknown
alderaan,Alderaan,temperate,"grasslands, mountains",2000000000,12500,Alderaan system,Core Worlds,18000.0,400.0,25.0,2.5,5.0,0.3,0.0,"A pacifist, temperate world of mountains and grasslands that served as a center for arts and education. It was famously destroyed by the Death Star.",The planet was home to Princess Leia Organa and was a key hub for Jedi sympathizers during the Imperial era. Its total annihilation created a massive ripple in the Force felt by Jedi across the galaxy.,1.0,false
aleen_minor,Aleen Minor,unknown,unknown,,,Aleen system,Mid Rim,6000.0,150.0,15.0,1.5,15.0,1.0,0.0,"A mysterious, small world. Very little is known about its surface or population.","The planet holds unique, ancient subterranean spirits and has been visited by Jedi for its mysterious spiritual nature.",0.5,false
bespin,Bespin,temperate,gas giant,6000000,118000,Bespin system,Outer Rim,4000.0,100.0,5.0,0.5,12.0,0.8,0.01,A gas giant featuring a habitable layer where Cloud City floats. It is an industrial mining hub and a luxury resort destination.,The carbon-freezing chamber in Cloud City was the site of a pivotal lightsaber duel between Darth Vader and Luke Skywalker. The technological nature of the planet dampens ambient Force signatures significantly.,1.0,false
bestine_iv,Bestine IV,temperate,"rocky islands, oceans",62000000,6400,Bestine system,Outer Rim,6000.0,150.0,15.0,1.5,15.0,1.0,0.0,A world of oceans and rocky islands. It is a quiet backwater world with a moderate population.,"The planet serves as a neutral ground in various conflicts, and its history lacks major Force-related events, leading to a balanced, low-profile signature.",0.7,false
cato_neimoidia,Cato Neimoidia,"temperate, moist","mountains, fields, forests, rock arches",10000000,,Cato Neimoidia system,Colonies,9500.0,250.0,15.0,1.5,20.0,1.2,0.0,A wealthy planet known for its arched cities built into high mountains. It is a center of trade and Neimoidian influence.,The planet was a major base of operations for the Trade Federation and a target during the Clone Wars. Its dense wealth and political machinations color its subtle Force signature.,0.95,false
cerea,Cerea,temperate,verdant,450000000,,Cerea system,Mid Rim,11000.0,300.0,20.0,2.0,10.0,0.6,0.0,"A verdant world known for its peaceful, agrarian society and focus on technology-free living.",Ki-Adi-Mundi hailed from this world. The planet's commitment to harmony and natural living keeps its Force signature bright and stable.,0.8,false
champala,Champala,temperate,"oceans, rainforests, plateaus",3500000000,,Champala system,Colonies,12000.0,300.0,20.0,2.0,15.0,1.0,0.0,"A pleasant world of oceans, rainforests, and plateaus.","Known as a center of culture and stability in the Colonies, it reflects a generally light, positive Force presence.",0.7,false
chandrila,Chandrila,temperate,"plains, forests",1200000000,13500,Chandrila system,Core Worlds,19000.0,450.0,20.0,2.0,5.0,0.3,0.0,"A lush, temperate world that serves as a pillar of democracy and pacifism. It is the birthplace of Mon Mothma.","Chandrila is known for its strong commitment to justice and peace, which contributes to an unusually light, stable presence in the Force.",1.0,false
concord_dawn,Concord Dawn,unknown,"jungles, forests, deserts",,,Concord system,Outer Rim,7000.0,200.0,15.0,1.5,25.0,1.5,0.01,"A world of varied terrains, including jungles and deserts. It is a Mandalorian stronghold.","The planet's history is steeped in the martial culture of the Mandalorians, leading to a fierce, disciplined, and sometimes volatile Force resonance.",0.9,false
corellia,Corellia,temperate,"plains, urban, hills, forests",3000000000,11000,Corellian system,Core Worlds,18000.0,450.0,25.0,3.0,20.0,1.2,0.01,"A highly developed, ship-building world known for its proud, independent citizens. It is a central hub for galactic commerce.","Corellia has a long history of Force-sensitives, particularly in lines like the Solo family. Its dense, bustling nature creates a chaotic, vibrant Force signature.",1.0,false
